source,target
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,5
71,5
72,5
73,5
57,6
74,6
75,6
76,6
77,6
78,6
79,6
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,8
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
28,9
96,9
97,9
98,9
79,9
99,9
100,9
101,10
102,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,11
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,12
97,12
99,12
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,13
50,13
120,13
129,13
130,13
131,13
45,13
60,13
132,13
133,13
134,13
135,13
136,14
137,14
138,14
139,14
140,14
141,14
142,14
143,15
144,15
145,15
146,15
147,15
33,16
148,16
149,16
150,16
151,16
152,16
153,16
154,16
155,16
156,16
157,16
158,16
159,17
160,17
161,17
162,17
163,17
164,17
165,17
166,17
167,17
168,17
169,17
170,17
171,17
159,18
172,18
173,18
161,18
174,18
175,18
168,18
176,18
177,18
178,18
179,18
180,18
181,19
182,19
183,19
184,19
76,19
185,19
186,19
187,19
188,19
35,19
189,19
190,19
88,19
70,19
191,19
59,19
192,19
193,19
194,19
195,19
196,19
197,19
198,19
199,19
200,19
201,19
202,19
203,19
204,19
205,19
206,19
207,19
208,19
209,19
173,19
210,19
211,19
212,19
213,19
214,19
215,19
216,19
217,19
97,19
218,19
219,19
220,19
221,19
222,19
223,19
224,19
225,19
226,19
25,19
227,19
228,20
229,20
230,20
231,20
232,20
233,20
234,20
235,20
236,21
188,21
84,21
237,21
238,21
106,21
239,21
240,21
241,21
242,22
243,22
244,22
245,22
246,22
247,22
248,22
28,23
79,23
138,23
249,23
250,23
251,23
8,23
252,23
253,23
72,23
254,23
255,23
256,23
257,23
258,23
259,23
260,23
261,23
262,23
263,23
264,23
265,24
266,24
267,24
268,24
269,24
60,24
270,24
271,24
226,24
272,24
273,24
274,24
275,24
276,24
277,24
278,24
279,24
280,24
281,25
282,25
283,25
284,25
285,25
286,25
287,25
288,25
289,25
290,25
139,25
41,25
240,25
291,26
292,26
293,26
63,26
294,26
243,26
295,27
195,27
296,27
297,27
298,27
299,27
300,27
301,27
302,27
303,27
304,28
305,28
306,28
307,28
308,28
309,28
310,28
311,28
312,28
25,28
313,28
268,28
314,28
315,28
316,28
317,28
318,28
319,29
320,29
321,29
322,29
323,29
324,29
325,30
72,30
326,30
327,30
49,30
308,30
328,30
329,30
330,30
331,31
332,31
333,31
334,31
335,31
336,31
337,31
338,31
339,31
340,31
283,32
341,32
149,32
220,32
342,32
343,32
344,33
237,33
345,33
346,33
347,33
88,33
348,33
349,33
125,33
350,33
351,33
122,33
352,33
159,34
353,34
354,34
223,34
355,34
45,34
356,34
357,34
358,35
359,35
360,35
299,35
98,35
361,35
362,35
141,35
363,35
364,35
365,35
366,36
74,36
367,36
368,36
369,36
370,36
371,36
372,36
373,37
211,37
374,37
375,37
223,37
376,37
377,37
238,37
378,38
379,38
380,38
381,38
382,38
383,38
384,38
385,38
386,38
387,38
388,38
389,38
266,39
217,39
60,39
390,39
391,39
392,39
393,40
394,40
395,40
396,40
397,40
398,40
399,40
400,40
401,40
402,40
403,40
404,40
405,40
406,40
407,40
408,40
409,40
410,40
411,40
412,40
413,40
414,41
244,41
415,41
416,41
417,41
418,41
419,41
420,41
421,41
422,41
423,41
254,41
424,41
425,42
426,42
427,42
428,42
429,42
430,42
431,42
432,42
433,42
434,42
435,42
436,42
437,42
438,42
156,42
439,42
72,43
440,43
441,43
442,43
443,43
444,43
445,43
446,43
325,43
49,43
308,43
447,43
448,44
57,44
217,44
449,44
184,44
450,44
451,44
452,44
453,44
454,44
455,44
456,44
457,44
458,44
459,44
