source,target
0,0
1,0
2,0
3,1
4,1
4,2
0,2
5,2
4,3
6,3
7,4
4,5
0,5
5,5
3,6
0,6
8,7
9,7
10,7
0,8
11,8
4,9
12,9
8,10
4,10
4,11
8,11
0,11
3,12
0,12
8,12
10,12
4,13
0,13
7,13
0,14
7,14
13,15
7,15
0,16
14,16
0,17
14,17
0,18
15,18
14,18
1,19
2,19
16,19
7,19
7,20
14,20
15,20
0,21
15,21
7,22
15,22
14,22
4,23
7,23
17,23
0,24
9,24
15,24
0,25
1,25
2,25
0,26
14,26
1,27
18,27
4,28
3,28
1,29
0,29
4,30
19,30
4,31
17,31
0,32
7,32
14,32
1,33
0,33
0,34
5,34
20,35
15,35
21,35
8,36
4,36
8,37
4,37
4,38
0,38
5,38
8,38
22,39
0,39
15,39
13,40
7,40
0,41
7,41
23,41
14,41
4,42
0,42
5,42
8,43
4,43
7,44
1,44
24,44
13,45
3,46
4,46
8,47
4,47
0,48
25,48
14,48
20,49
21,49
20,50
21,50
7,51
7,52
26,52
20,53
15,53
21,53
8,54
4,54
8,55
15,55
3,56
13,57
17,57
13,58
8,59
4,59
27,59
7,59
20,60
21,60
20,61
21,61
8,62
27,62
4,62
20,63
21,63
20,64
21,64
4,65
27,65
8,66
27,66
8,67
7,68
6,68
3,69
4,69
7,69
7,70
8,71
27,71
8,72
27,72
4,73
8,73
13,74
28,74
0,75
11,75
7,75
4,76
12,76
4,77
7,77
8,78
0,78
4,78
8,79
4,79
8,80
3,80
4,80
13,81
25,81
7,82
12,82
14,82
1,83
2,83
20,84
21,84
20,85
15,85
0,86
23,86
7,86
8,86
1,86
4,87
15,87
14,87
20,88
21,88
0,89
8,89
29,89
8,90
4,90
4,91
9,91
6,91
8,92
7,92
1,93
8,94
4,94
30,94
20,95
21,95
7,96
6,96
20,97
21,97
20,98
15,98
7,99
28,99
8,100
3,100
4,100
7,101
0,101
15,101
20,102
21,102
4,103
3,103
0,104
14,104
23,104
0,105
14,105
7,105
11,105
7,106
0,106
5,106
0,107
15,107
14,107
4,108
3,108
31,108
9,108
20,109
15,109
20,110
15,110
21,110
4,111
32,111
0,112
25,112
4,113
0,113
1,113
0,114
11,114
15,114
4,115
8,115
0,116
11,116
15,116
7,117
4,117
4,118
8,118
3,119
0,119
5,119
7,120
14,120
0,121
14,121
7,121
3,122
0,122
4,122
4,123
8,123
22,123
26,123
3,124
15,124
3,125
0,125
5,125
4,126
0,126
0,127
4,127
5,127
8,128
4,128
8,129
4,129
8,130
8,131
33,131
34,131
35,131
7,132
15,132
20,133
15,133
7,133
13,134
8,135
15,135
8,136
4,136
4,137
0,137
4,138
7,138
4,139
0,140
4,140
8,141
26,141
0,142
15,142
14,142
0,143
15,143
14,143
8,144
8,145
4,145
8,146
4,146
4,147
8,147
3,147
8,148
26,148
4,149
15,149
19,149
7,150
0,150
15,150
7,151
0,151
14,151
11,151
0,152
31,152
7,152
9,152
0,153
20,153
14,153
20,154
15,154
8,154
7,154
7,155
4,156
7,156
8,157
4,157
8,158
27,158
35,158
1,159
7,159
8,160
27,160
8,161
27,161
7,161
0,162
31,162
9,162
7,163
4,163
14,163
4,164
8,164
4,165
3,165
8,165
8,166
27,166
0,167
15,167
0,168
3,168
7,168
8,169
3,169
36,169
4,170
0,170
5,170
0,171
5,171
0,172
4,172
7,172
0,173
14,173
8,174
29,174
1,175
8,175
0,176
15,176
22,177
5,177
15,177
20,178
15,178
14,178
8,179
4,179
8,180
7,180
24,180
7,181
1,182
2,182
4,183
4,184
3,185
0,185
5,185
4,186
14,186
7,187
8,187
8,188
8,189
7,190
15,190
14,190
4,191
15,191
8,192
15,192
14,192
8,193
7,193
37,193
4,194
7,194
8,195
4,195
8,196
27,196
7,197
3,197
13,198
7,199
25,199
8,200
4,200
27,200
20,201
21,201
8,201
20,202
21,202
20,203
8,203
21,203
20,204
21,204
20,205
21,205
15,205
20,206
15,206
14,206
20,207
21,207
20,208
20,209
15,209
14,209
0,210
4,210
0,211
23,211
14,211
20,212
15,212
21,212
20,213
21,213
8,214
4,214
20,215
21,215
4,216
7,216
0,216
14,216
20,217
7,217
20,218
15,218
21,218
4,219
8,220
1,221
7,221
7,222
4,222
33,222
8,223
20,224
21,224
20,225
