姓名|角色名称|中文名|英文名|别名|粉丝名
无|[]|无|无|无|无
无|[]|无|无|无|无
丁一|[('浪花一朵朵', '丁亮剑'), ('天泪传奇之凤凰无双', '王世杰'), ('诛仙青云志', '吴大义'), ('那些女人', '学生'), ('大变话', '交警')]|丁一|dustin|无|无
丁一宇|[('女汉子完美恋人', '葛阳'), ('我的爱', '志宇学长'), ('安静的世界', '金相庆童年'), ('爱情与谎言', 'team'), ('灰姑娘与四骑士', '姜志云'), ('巡夜人日志', '李遴'), ('黄金彩虹', '检察官徐道英'), ('拥抱太阳的月亮', '阳明君'), ('花美男拉面馆', '车治秀'), ('high kick 3', '丁一宇(客串)'), ('49日', '宋宜秀、调度员'), ('穿透屋顶的highkick', '丁一宇(客串)'), ('拜托小姐', '李泰云'), ('一枝梅归来', '一枝梅'), ('可可岛的秘密', '李允浩(客串第一集)'), ('无法阻挡的highkick', '李允浩')]|丁一宇|정일우、jungilwoo|丁青蛙、丁白兔、丁演员、丁二锅|无
丁丁|[('我的青春高八度', '钱雪琪'), ('老妈的三国时代', '姜晓敏'), ('隔离岛', '小暖'), ('中国好声音之为你转身', '丁飘飘')]|丁丁|sprite|丁小丁|无
丁冠森|[('青禾男高', '阿屁'), ('嫌疑人x的献身', '曹伟'), ('谁的青春不迷茫', '欧小洋'), ('象牙塔', '岳鹏'), ('女仆咖啡厅', '叶小辉')]|丁冠森|guansen ding|冠森、阿森、森森|无
丁勇岱|[('倾城', '王老石'), ('一夜未了情', '丹阳'), ('一个人的奥林匹克', '教练'), ('我心飞翔', '晟'), ('关中刀客之肉瓤子', '肉瓤子'), ('高原如梦', '张仲良'), ('白山黑水', '杨靖宇'), ('浴血疆城', '郝三'), ('天衣无缝', '文四益'), ('一剑横空', '龙西城'), ('楼外楼', '赵田雨'), ('剃刀边缘', '金三普'), ('安居', '凌自忠'), ('海棠依旧', '耿彪'), ('林海雪原', '马希山'), ('琅琊榜', '梁帝萧选'), ('别叫我兄弟', '韩父'), ('青春无季', '秦局长'), ('欢乐颂', '魏国强'), ('孤雁', '关云飞'), ('铁血轻奇兵', '宫本司令'), ('大明按察使之铁血断案', '纪纲'), ('守望正义', '李大康'), ('负二代的幸福生活', '万父'), ('大明按察使', '纪纲'), ('商道天问', '葛老抠'), ('说谎的爱人', '董凡良'), ('绝杀', '申剑'), ('冷风暴', '杨云轩'), ('无法放弃', '刑警队长'), ('国家记忆', '杜聿明'), ('富滇风云', '丘父'), ('双城生活', '郝建国'), ('雪花那个飘', '李阔'), ('孟来财传奇', '田俊雄'), ('热血兄弟', '唐家驹'), ('今生欠你一个拥抱', '翟司令'), ('爱情句号', '车展'), ('春秋淹城', '伯淹'), ('国色天骄', '王长根'), ('疯狂的背后', '邹天明'), ('国家机密2', '洪子城'), ('我们还能在一起吗', '闻瑞泽'), ('结发夫妻', '白桦'), ('卧薪尝胆', '伯嚭'), ('水晶眼', '雷鸣'), ('张礼红的现代生活', '周致军'), ('寒秋', '丑鬼'), ('陪读', '韦家宏'), ('生存之民工', '老杜'), ('撕开你的伤口', '郑前方'), ('不堪回首', '戚新军'), ('黑枪', '马也'), ('血色白桦', '铁龙'), ('刑警的故事', '汤建华'), ('弄潮儿女', '文亦武'), ('冬至', '蒋寒'), ('中国刑侦一号案', '白宝山'), ('威胁', '迟立强'), ('出生入死', '李大钢'), ('小镇法官', '孟光普'), ('跨越', '江云帆'), ('水命', '男一号'), ('兵谣', '古义宝'), ('泰山挑夫', '挑夫'), ('今夜长风', '男一号'), ('可叹天下父母心', '王长乐'), ('驼道', '古海'), ('司法局长', '赵立伟'), ('天路', '骆黑子'), ('天地人', '陆骁'), ('锡尼喇嘛', '锡尼喇嘛')]|丁勇岱|无|无|无
丁子峻|[('我是你的百搭', '安东'), ('妻子的秘密', '黎天'), ('如果不曾爱过你', '杜洋'), ('追鱼传奇', '赵端'), ('精忠岳飞', '赵构'), ('偏偏爱上你', '文泽楷'), ('下一个奇迹', '许明杰'), ('神话', '蒙恬'), ('孽债2', '罗灿然'), ('流泪的新娘', '葛人杰'), ('情陷巴塞罗那', '林勇文'), ('我爱河东狮', '二皇子'), ('重症病房', '柳声河'), ('雪域迷城', '纳龙'), ('爱比恨多一点', '海宁'), ('流星蝴蝶剑', '孟星魂'), ('8号巴士站站情', '袁车民'), ('亲密爱人', '温凯文'), ('祝君早安', '齐全'), ('上海之恋', '立居'), ('国际刑警·越南鬼蝶', '阮志文'), ('我和春天有个约会', 'danny'), ('百万爱情宝贝', '高英俊'), ('西塘河', '叶风'), ('真爱无言', '楚鹤'), ('直到有一天', '凌逍'), ('三言二拍之', '张廷秀'), ('之终极边缘', '钱继东'), ('心思思', '家宝'), ('阴阳路3之升棺发财', '资生堂'), ('阴阳路2之我在你左右', '长发'), ('色情男女', '阿伟'), ('洪兴仔之江湖大风暴', '细潮'), ('百分百感觉', 'thomas'), ('旺角揸fit人', '林锋'), ('阴阳路', '小波'), ('女人四十', '孙定一')]|丁子峻|allen ting|阿拉丁|无
丁春诚|[('只要一分钟', '陈立翔'), ('爱情atm', '李伟铭'), ('陂塘', '赵笃信'), ('白色之恋', '永拓'), ('33故事馆之相恋无罪', '林志豪'), ('告诉我你爱我', '季浩然'), ('珍爱林北', '单帮王'), ('清蜜星体验', '狮子男/蒋哥'), ('女王不下班', '章衔（年轻时代）'), ('爱在台中', '方亚斯'), ('桃花小妹', '陈转'), ('斗牛要不要', 'roma')]|丁春诚|sphinx ting|壁纸小开|无
丁柳元|[('2016-1-9', '张爱兰'), ('大江东去', '苏月芬'), ('我心灿烂', '叶星星'), ('不能没有家', '吕凤琴'), ('节振国传奇', '玉兰'), ('夜隼', '柳航'), ('杨善洲', '作家叶紫'), ('老爸的心愿', '王大珍'), ('和婆婆一起出嫁', '陈凝'), ('一世牵挂', '高晓云'), ('夏妍的秋天', '武京秋'), ('江姐', '江竹筠'), ('兵峰', '娜叶'), ('大宅院的女人', '余梅兰'), ('继母后妈', '薛礼燕'), ('亲兄热弟', '二嫂小婉'), ('深度较量', '许鹿'), ('想爱都难', '孙菲'), ('荀慧生', '吴梅魂'), ('鹰与枭', '荷花'), ('刑警本色2之魔咒', '阿丽'), ('北京人事件', '肖楠楠'), ('别和陌生人跳舞', '乔方方'), ('警察抓小偷', '陆晓红'), ('国家命脉', '严雪'), ('八路军', '冯玉兰'), ('农民代表', '沈泉月'), ('敌后武工队', '汪霞'), ('神捕十三娘', '洪叶儿'), ('我心永远', '康馨湄'), ('立案侦查', '龙翎'), ('走向共和', '田沫'), ('绿萝花', '秦灵芬'), ('行棋无悔', '刘西'), ('爱情宝典', '红拂'), ('太阳不落山', '杨媚'), ('皇帝的新装', '皇后'), ('沉浮', '秦灵芬'), ('八七会议', '方静'), ('雨中的树', '向琪'), ('小小飞虎队', '辣嫂'), ('忠诚与背叛', '杨开慧'), ('我最好的朋友江竹筠', '江竹筠'), ('西藏班', '艾老师'), ('此生此爱', '蓉蓉'), ('八月一日', '大湘'), ('网路黑客', '伊琳'), ('又见阳光', '华姐'), ('一见钟情', '华姐')]|丁柳元|liuyuan ding|无|无
