CNT,MovieName,Time
19 0 76 0 0,速度与激情8,2017-04-13
95 19 38 19 0,速度与激情8,2017-04-14
0 19 152 38 19,速度与激情8,2017-04-12
19 19 19 0 0,速度与激情8,2017-04-15
0 19 0 0 0,速度与激情8,2017-04-04
0 19 0 0 0,速度与激情8,2017-04-10
0 19 38 19 0,速度与激情8,2017-04-16
0 0 19 0 0,速度与激情8,2017-04-11
0 0 0 19 0,速度与激情8,2017-04-09
0 19 19 0 0,速度与激情8,2017-03-20
38 38 0 38 0,战狼2,2017-07-23
38 188 0 187 111,战狼2,2017-07-27
74 113 0 0 37,战狼2,2017-07-29
114 76 0 0 38,战狼2,2017-07-28
0 38 37 0 0,战狼2,2017-07-26
0 0 0 38 0,战狼2,2017-07-22
37 0 0 38 0,战狼2,2017-07-31
37 0 0 0 0,战狼2,2017-08-02
0 37 0 0 0,战狼2,2017-08-10
37 0 0 0 0,战狼2,2017-08-05
37 0 0 0 0,战狼2,2017-08-09
0 37 0 0 0,战狼2,2017-08-01
0 0 0 37 0,战狼2,2017-07-24
152 38 114 76 0,功夫瑜伽,2017-01-28
57 0 0 19 0,功夫瑜伽,2017-01-27
0 0 19 0 0,功夫瑜伽,2017-01-21
57 38 0 19 0,功夫瑜伽,2017-01-29
0 19 19 0 0,功夫瑜伽,2017-01-30
19 0 0 0 0,功夫瑜伽,2017-01-31
19 19 0 0 0,功夫瑜伽,2017-02-01
19 0 0 0 0,功夫瑜伽,2017-02-04
0 19 0 0 0,功夫瑜伽,2017-02-08
171 171 57 152 133,西游伏妖篇,2017-01-28
57 0 0 0 0,西游伏妖篇,2017-01-27
0 19 0 0 0,西游伏妖篇,2017-01-30
228 133 19 0 0,变形金刚5：最后的骑士,2017-06-23
0 19 0 0 0,变形金刚5：最后的骑士,2017-06-13
38 76 38 38 0,变形金刚5：最后的骑士,2017-06-21
38 0 0 0 0,变形金刚5：最后的骑士,2017-06-22
19 0 0 0 0,变形金刚5：最后的骑士,2017-06-15
19 0 0 0 0,变形金刚5：最后的骑士,2017-06-25
0 19 0 0 0,变形金刚5：最后的骑士,2017-06-27
0 0 19 0 0,变形金刚5：最后的骑士,2017-06-14
19 0 0 0 0,变形金刚5：最后的骑士,2017-06-24
0 0 0 19 19,摔跤吧！爸爸,2016-12-23
0 0 0 0 57,摔跤吧！爸爸,2017-04-16
0 0 19 0 38,摔跤吧！爸爸,2017-01-04
0 0 0 0 19,摔跤吧！爸爸,2017-04-11
0 0 0 0 38,摔跤吧！爸爸,2016-12-24
0 0 0 0 38,摔跤吧！爸爸,2016-12-31
0 0 0 19 0,摔跤吧！爸爸,2017-01-18
0 0 0 0 19,摔跤吧！爸爸,2017-05-04
0 0 19 19 38,摔跤吧！爸爸,2017-05-05
0 0 0 0 19,摔跤吧！爸爸,2017-02-05
0 0 0 0 57,摔跤吧！爸爸,2017-05-07
19 19 0 0 0,摔跤吧！爸爸,2017-01-07
0 0 19 0 0,摔跤吧！爸爸,2017-01-10
0 0 0 0 19,摔跤吧！爸爸,2016-12-27
0 0 0 19 19,摔跤吧！爸爸,2017-04-30
0 0 19 0 0,摔跤吧！爸爸,2017-01-08
0 0 0 57 0,摔跤吧！爸爸,2017-05-03
0 0 0 19 38,摔跤吧！爸爸,2017-05-08
0 0 0 0 19,摔跤吧！爸爸,2017-01-19
0 0 19 0 0,摔跤吧！爸爸,2017-01-03
0 0 0 19 0,摔跤吧！爸爸,2017-04-19
0 0 0 19 0,摔跤吧！爸爸,2017-05-31
38 76 133 76 57,加勒比海盗5：死无对证,2017-05-26
0 38 38 38 0,加勒比海盗5：死无对证,2017-05-25
0 0 38 0 19,加勒比海盗5：死无对证,2017-05-24
0 19 0 0 0,加勒比海盗5：死无对证,2017-05-13
0 19 0 19 0,加勒比海盗5：死无对证,2017-05-28
0 38 38 0 19,加勒比海盗5：死无对证,2017-05-27
0 0 19 0 0,加勒比海盗5：死无对证,2017-06-06
