count|movieName|name|week
7|战狼2|吴刚|0
18|战狼2|吴京|0
1|战狼2|于谦|0
4|战狼2|张翰|0
1|战狼2|石兆琪|0
3|战狼2|余男|0
3|战狼2|吴京|1
1|战狼2|卢靖姗|1
1|战狼2|余男|1
1|西游伏妖篇|林更新|0
4|西游伏妖篇|姚晨|0
1|西游伏妖篇|程思寒|0
1|西游伏妖篇|林允|0
1|西游伏妖篇|杨一威|0
5|西游伏妖篇|吴亦凡|0
2|西游伏妖篇|王丽坤|0
2|西游伏妖篇|徐克|0
1|西游伏妖篇|林更新|1
1|西游伏妖篇|徐克|2
1|功夫瑜伽|张艺兴|0
8|功夫瑜伽|成龙|0
1|功夫瑜伽|唐季礼|0
2|功夫瑜伽|李治廷|0
1|功夫瑜伽|成龙|1
2|功夫瑜伽|成龙|2
15|羞羞的铁拳|马丽|0
5|羞羞的铁拳|沈腾|0
14|羞羞的铁拳|艾伦|0
4|乘风破浪|韩寒|0
1|乘风破浪|金士杰|0
1|乘风破浪|董子健|0
3|乘风破浪|邓超|0
1|乘风破浪|赵丽颖|0
1|乘风破浪|张本煜|2
1|乘风破浪|邓超|2
1|大闹天竺|柳岩|0
11|大闹天竺|王宝强|0
3|大闹天竺|白客|0
1|大闹天竺|王宝强|1
2|大闹天竺|王宝强|2
1|大闹天竺|白客|2
1|悟空传|郭子健|0
13|悟空传|彭于晏|0
5|悟空传|郑爽|0
1|悟空传|乔杉|0
4|悟空传|倪妮|0
2|悟空传|余文乐|0
2|悟空传|欧豪|0
1|三生三世十里桃花|严屹宽|0
26|三生三世十里桃花|杨洋|0
24|三生三世十里桃花|刘亦菲|0
2|三生三世十里桃花|罗晋|0
2|三生三世十里桃花|顾璇|0
1|三生三世十里桃花|刘亦菲|1
1|三生三世十里桃花|杨洋|2
1|三生三世十里桃花|刘亦菲|2
5|杀破狼·贪狼|吴樾|0
1|杀破狼·贪狼|卢惠光|0
5|杀破狼·贪狼|古天乐|0
1|杀破狼·贪狼|吴樾|2
2|父子雄兵|大鹏|1
1|父子雄兵|范伟|1
1|父子雄兵|袁卫东|1
3|傲娇与偏见|张云龙|0
14|傲娇与偏见|迪丽热巴|0
1|傲娇与偏见|..|0
6|傲娇与偏见|高伟光|0
3|傲娇与偏见|张云龙|1
4|傲娇与偏见|迪丽热巴|1
2|傲娇与偏见|高伟光|1
1|傲娇与偏见|张云龙|3
2|傲娇与偏见|迪丽热巴|3
1|决战食神|王太利|0
1|决战食神|白冰|0
1|决战食神|唐嫣|0
6|决战食神|谢霆锋|0
5|决战食神|葛优|0
3|决战食神|杜海涛|0
11|鲛珠传|任达华|0
1|鲛珠传|杨磊|0
5|鲛珠传|张天爱|0
5|鲛珠传|王大陆|0
1|鲛珠传|张天爱|1
1|鲛珠传|王大陆|1
1|游戏规则|娜扎|0
1|游戏规则|何润东|0
1|游戏规则|高捷|0
3|冈仁波齐|张杨|0
1|英伦对决|刘涛|0
1|英伦对决|皮尔斯·布鲁斯南|0
6|英伦对决|成龙|0
4|追龙|刘德华|0
1|追龙|徐冬冬|0
1|追龙|周丽淇|0
6|追龙|甄子丹|0
4|拆弹专家|刘德华|1
1|拆弹专家|姜武|1
1|拆弹专家|邱礼涛|1
2|拆弹专家|蔡瀚亿|1
1|拆弹专家|宋佳|1
1|拆弹专家|吴卓羲|1
2|拆弹专家|刘德华|3
7|建军大业|刘烨|0
1|建军大业|马天宇|0
1|建军大业|刘伟强|0
2|建军大业|鹿晗|0
1|建军大业|李沁|0
2|建军大业|陈伟霆|0
2|建军大业|黄志忠|0
1|建军大业|小爱|0
2|建军大业|郑元畅|0
1|建军大业|白客|0
3|建军大业|李易峰|0
1|建军大业|关晓彤|0
1|建军大业|张艺兴|0
1|建军大业|欧豪|0
1|建军大业|田牧宸|0
5|建军大业|朱亚文|0
1|建军大业|白客|1
22|心理罪|李易峰|0
14|心理罪|廖凡|0
1|心理罪|李易峰|1
2|心理罪|廖凡|1
1|心理罪|万茜|1
1|心理罪|李易峰|2
4|记忆大师|陈正道|0
3|记忆大师|徐静蕾|0
17|记忆大师|黄渤|0
1|记忆大师|杨子姗|0
6|记忆大师|段奕宏|0
9|记忆大师|许玮甯|0
3|记忆大师|黄渤|1
1|记忆大师|杨子姗|1
1|记忆大师|段奕宏|1
1|记忆大师|王真儿|1
1|记忆大师|段奕宏|4
7|缝纫机乐队|韩童生|0
2|缝纫机乐队|于谦|0
3|缝纫机乐队|娜扎|0
1|缝纫机乐队|岳云鹏|0
10|缝纫机乐队|乔杉|0
12|缝纫机乐队|大鹏|0
3|绣春刀2|杨幂|0
3|绣春刀2|雷佳音|0
1|绣春刀2|张译|0
2|绣春刀2|张震|0
1|绣春刀2|辛芷蕾|0
2|绣春刀2|杨幂|1
1|绣春刀2|张译|1
1|绣春刀2|张震|1
2|绣春刀2|杨幂|2
1|绣春刀2|雷佳音|2
1|绣春刀2|张震|2
1|绣春刀2|辛芷蕾|2
10|空天猎|李晨|0
1|空天猎|李佳航|0
1|空天猎|王学圻|0
1|空天猎|郭洺宇|0
1|空天猎|王千源|0
5|空天猎|范冰冰|0
1|空天猎|吴秀波|0
4|绑架者|黄立行|0
3|绑架者|明道|0
7|绑架者|白百何|0
8|绑架者|徐静蕾|0
1|绑架者|徐静蕾|2
2|血战湘江|张一山|0
10|反转人生|夏雨|0
6|反转人生|闫妮|0
4|反转人生|伍仕贤|0
1|反转人生|潘斌龙|0
2|反转人生|宁静|0
3|反转人生|吴彦祖|0
7|反转人生|宋茜|0
3|欢乐喜剧人|郭德纲|0
1|欢乐喜剧人|罗温·艾金森|0
2|欢乐喜剧人|岳云鹏|0
1|龙之战|曹云金|0
1|龙之战|刘佩琦|0
1|破·局|郭富城|1
2|京城81号2|张智霖|0
3|京城81号2|钟欣潼|0
5|侠盗联盟|冯德伦|0
1|侠盗联盟|让·雷诺|0
1|侠盗联盟|沙溢|0
13|侠盗联盟|刘德华|0
11|侠盗联盟|舒淇|0
3|侠盗联盟|杨祐宁|0
1|侠盗联盟|游天翼|0
1|侠盗联盟|杨祐宁|1
1|侠盗联盟|冯德伦|1
1|侠盗联盟|刘德华|2
1|侠盗联盟|刘德华|3
1|侠盗联盟|冯德伦|3
1|侠盗联盟|舒淇|3
1|闪光少女|陈奕迅|0
1|闪光少女|徐璐|0
1|闪光少女|刘泳希|0
1|闪光少女|徐璐|1
23|荡寇风云|赵文卓|0
8|荡寇风云|洪天明|0
3|荡寇风云|陈嘉上|0
4|荡寇风云|万茜|0
9|荡寇风云|洪金宝|0
1|荡寇风云|赵文卓|1
1|喜欢你|孙艺洲|0
4|喜欢你|林志玲|0
1|喜欢你|奚梦瑶|0
1|喜欢你|许宏宇|0
19|喜欢你|金城武|0
20|喜欢你|周冬雨|0
15|春娇救志明|杨千嬅|0
2|春娇救志明|蒋梦婕|0
1|春娇救志明|李程彬|0
18|春娇救志明|余文乐|0
2|春娇救志明|余文乐|1
1|春娇救志明|杨千嬅|1
1|春娇救志明|余文乐|2
1|二十二|郭柯|0
1|二十二|郭柯|1
5|非凡任务|段奕宏|0
1|非凡任务|邢佳栋|0
1|非凡任务|麦兆辉|0
12|非凡任务|黄轩|0
1|非凡任务|黄轩|1
1|非凡任务|邢佳栋|2
1|非凡任务|黄轩|4
1|疯岳撬佳人|袁姗姗|0
3|疯岳撬佳人|岳云鹏|0
1|疯岳撬佳人|袁姗姗|1
1|疯岳撬佳人|岳云鹏|1
2|明月几时有|许鞍华|0
2|明月几时有|鲍起静|0
1|明月几时有|梁家辉|0
5|明月几时有|彭于晏|0
8|明月几时有|霍建华|0
1|明月几时有|郭涛|0
8|明月几时有|周迅|0
1|喵星人|黄星羱|0
1|喵星人|刘楚恬|0
8|喵星人|马丽|0
15|喵星人|古天乐|0
2|喵星人|马丽|1
2|喵星人|古天乐|1
5|合约男女|郑秀文|0
1|合约男女|林雪|0
2|合约男女|郑秀文|1
1|毒。诫|古天乐|0
4|毒。诫|刘青云|0
1|毒。诫|张晋|0
2|毒。诫|林家栋|0
1|心惊胆战|惠英红|0
1|心惊胆战|陈颖欣|0
2|诡眼|欧阳奋强|0
1|八月|张大磊|0
3|夜色撩人|王千源|0
7|夜色撩人|余男|0
2|夜色撩人|夏钢|0
2|皮绳上的魂|张杨|0
3|一路逆风|邓紫棋|0
1|少年巴比伦|李梦|0
1|少年巴比伦|董子健|1
2|小情书|乔梁|1
5|六人晚餐|窦骁|0
4|六人晚餐|邬君梅|0
10|六人晚餐|吴刚|0
3|完美有多美|蒋勤勤|0
1|完美有多美|胡明|0
2|完美有多美|沙宝亮|0
3|完美有多美|姜武|0
1|完美有多美|颜丙燕|0
1|完美有多美|王德顺|0
1|我是马布里|杨子|0
2|我是马布里|吴尊|0
3|会痛的十七岁|徐娇|0
3|会痛的十七岁|胡夏|0
6|秘果|欧阳娜娜|0
4|秘果|陈飞宇|0
1|秘果|欧阳娜娜|1
1|秘果|陈飞宇|1
1|重返·狼群|李微漪|0
4|黑白迷宫|任达华|0
5|黑白迷宫|陈小春|0
1|黑白迷宫|任达华|2
1|黑白迷宫|陈小春|2
1|黑白迷宫|林雪|2
3|有完没完|林更新|0
1|有完没完|贾静雯|0
4|有完没完|薛之谦|0
1|有完没完|王啸坤|0
10|有完没完|范伟|0
2|有完没完|孔连顺|0
1|有完没完|范伟|1
1|麻烦家族|何炅|0
2|麻烦家族|孙莉|0
6|麻烦家族|海清|0
15|麻烦家族|黄磊|0
2|麻烦家族|任容萱|0
1|麻烦家族|黄磊|1
1|青禾男高|周游|0
22|青禾男高|景甜|0
3|青禾男高|丁冠森|0
21|青禾男高|欧豪|0
9|“吃吃”的爱|林志玲|0
10|“吃吃”的爱|徐熙娣|0
1|“吃吃”的爱|金世佳|0
1|“吃吃”的爱|徐熙娣|1
1|二次初恋|王嘉宁|0
2|二次初恋|王志飞|0
8|二次初恋|朱茵|0
1|二次初恋|杜天皓|0
1|二次初恋|朱茵|1
1|内心引力|施秋荣|0
1|内心引力|胡弦|0
1|我是谁的宝贝|郑国霖|0
1|神秘家族|姜武|0
6|神秘家族|陈晓|0
2|神秘家族|惠英红|0
8|神秘家族|林依晨|0
1|神秘家族|陈晓|1
1|神秘家族|林依晨|2
1|碟仙诡谭2|雷宇扬|0
1|碟仙诡谭2|惠英红|0
2|碟仙诡谭2|张韶涵|0
11|临时演员|热依扎|0
1|临时演员|曹扬|0
1|临时演员|林保怡|0
11|临时演员|郑恺|0
2|临时演员|林雪|0
2|临时演员|郭晓东|0
1|提着心吊着胆|任素汐|0
3|上海王|胡军|0
3|上海王|秦昊|0
3|上海王|余男|0
1|捍卫者|白恩|0
14|美容针|闫妮|0
7|美容针|杜天皓|0
2|美容针|闫妮|1
2|中国推销员|檀冰|0
4|中国推销员|李东学|0
2|仙球大战|何炅|0
1|20:16|刘松仁|0
1|20:16|吴俊余|0
1|20:16|刘松仁|2
1|20:16|吕星辰|2
8|不期而遇|张亮|0
9|不期而遇|张雨绮|0
3|不期而遇|高捷|0
1|不期而遇|张亮|1
1|不期而遇|张雨绮|1
1|指甲刀人魔|许玮甯|0
3|指甲刀人魔|周冬雨|0
1|窦娥奇冤|刘挺|0
3|窦娥奇冤|王力可|0
3|窦娥奇冤|田重|0
1|窦娥奇冤|王力可|1
1|忠爱无言|谈宜之|0
1|忠爱无言|储毅|0
1|血狼犬|黄宏|0
1|血狼犬|刘向京|1
1|美好的意外|欧阳娜娜|0
1|美好的意外|王元也|0
3|美好的意外|陈坤|0
1|缉枪|热依扎|0
1|抢红|王耀庆|0
13|抢红|张涵予|0
2|抢红|杜鹃|0
10|抢红|黎明|0
2|抢红|张涵予|1
1|抢红|黎明|1
1|极致追击|梁静|0
1|极致追击|吴磊|0
3|极致追击|昆凌|0
1|极致追击|英达|0
4|健忘村|杨祐宁|0
10|健忘村|舒淇|0
4|健忘村|王千源|0
1|健忘村|舒淇|1
1|夜闯寡妇村|王李丹妮|0
2|叶问3|泰森|0
3|叶问3|甄子丹|0
1|叶问3|甄子丹|3
4|铁道飞虎|成龙|0
2|铁道飞虎|王凯|0
1|寒战2|杨采妮|0
4|情圣|闫妮|0
9|情圣|肖央|0
1|情圣|艾伦|0
1|情圣|乔杉|0
1|情圣|代乐乐|0
1|情圣|邓超|0
1|情圣|小沈阳|0
1|情圣|闫妮|1
1|使徒行者|张家辉|0
5|使徒行者|许绍雄|0
1|使徒行者|古天乐|0
2|我不是潘金莲|范冰冰|0
1|我不是潘金莲|高明|0
4|我不是潘金莲|冯小刚|0
3|摆渡人|陈奕迅|0
6|摆渡人|梁朝伟|0
2|摆渡人|鹿晗|0
1|摆渡人|张嘉佳|0
1|摆渡人|杨颖|0
1|摆渡人|金城武|0
1|摆渡人|大鹏|0
1|摆渡人|梁朝伟|1
1|爵迹|郭采洁|0
1|爵迹|林允|0
1|爵迹|吴亦凡|0
5|爵迹|郭敬明|0
1|爵迹|汪铎|0
2|爵迹|王源|0
1|爵迹|陈学冬|0
1|爵迹|范冰冰|0
1|爵迹|林允|2
1|爵迹|李治廷|2
1|爵迹|陈伟霆|2
1|爵迹|汪铎|2
1|爵迹|王源|2
1|爵迹|陈学冬|2
1|爵迹|杨幂|2
1|火锅英雄|秦昊|0
1|火锅英雄|陈坤|0
1|火锅英雄|杨庆|1
1|美人鱼|林允|2
1|美人鱼|林子聪|2
4|盗墓笔记|鹿晗|0
1|盗墓笔记|南派三叔|0
1|盗墓笔记|李仁港|0
3|盗墓笔记|井柏然|0
1|长城|林更新|0
1|长城|景甜|0
1|长城|张涵予|0
1|长城|王俊凯|0
12|长城|张艺谋|0
1|长城|刘德华|1
1|长城|郑恺|1
1|长城|张艺谋|1
1|长城|景甜|2
9|湄公河行动|陈宝国|0
4|湄公河行动|彭于晏|0
3|湄公河行动|张涵予|0
10|湄公河行动|林超贤|0
1|湄公河行动|彭于晏|2
1|澳门风云3|张学友|0
1|澳门风云3|王晶|1
2|绝地逃亡|范冰冰|0
3|绝地逃亡|成龙|0
1|惊天大逆转|李骏|2
3|捉迷藏|霍建华|0
1|捉迷藏|万茜|0
1|捉迷藏|秦海璐|0
1|消失爱人|黎明|0
1|消失爱人|林俊杰|0
1|超级快递|李媛|0
1|真相禁区|任达华|0
1|真相禁区|张赫|0
1|真相禁区|霍建华|0
1|真相禁区|高捷|0
4|我们的十年|赵丽颖|0
3|我们的十年|乔任梁|0
1|奔爱|梁静|0
1|奔爱|章子怡|0
1|奔爱|周冬雨|0
1|奔爱|张译|0
1|奔爱|彭于晏|0
1|奔爱|章子怡|1
1|奔爱|彭于晏|1
1|冰河追凶|梁家辉|1
1|冰河追凶|佟大为|1
1|28岁未成年|王大陆|0
1|惊天破|谢霆锋|0
2|惊天破|刘青云|0
2|三少爷的剑|林更新|0
2|三少爷的剑|江一燕|0
1|三人行|钟汉良|0
2|三人行|赵薇|0
4|陆垚知马俐|宋佳|0
4|陆垚知马俐|包贝尔|0
1|陆垚知马俐|文章|0
2|百鸟朝凤|吴天明|0
1|百鸟朝凤|张喜前|0
3|七月与安生|周冬雨|0
4|七月与安生|马思纯|0
1|危城|袁泉|0
3|危城|古天乐|0
1|危城|陈木胜|0
2|危城|吴京|0
4|危城|彭于晏|0
3|危城|刘青云|0
1|危城|陈木胜|1
2|追凶者也|刘烨|0
1|追凶者也|张译|0
1|追凶者也|曹保平|0
2|追凶者也|王子文|0
1|高跟鞋先生|薛凯琪|0
1|大话西游3|唐嫣|0
1|大话西游3|吴京|0
1|大话西游3|韩庚|0
1|大话西游3|钟欣潼|0
1|封神传奇|杨颖|0
3|封神传奇|李连杰|0
2|封神传奇|黄晓明|0
1|封神传奇|文章|0
2|封神传奇|范冰冰|0
2|封神传奇|古天乐|0
5|王牌逗王牌|黄晓明|0
1|王牌逗王牌|沈腾|0
7|王牌逗王牌|刘德华|0
2|王牌逗王牌|欧阳娜娜|0
1|王牌逗王牌|胡然|0
2|王牌逗王牌|徐冬冬|0
1|反贪风暴2|蔡少芬|0
1|冲天火|林岭东|0
1|天亮之前|郭富城|0
1|天亮之前|杨子姗|0
3|我的战争|刘烨|0
2|我的战争|杨祐宁|0
4|我的战争|王珞丹|0
2|蒸发太平洋|张雨绮|0
1|大唐玄奘|黄晓明|0
2|一切都好|窦骁|0
2|一切都好|张国立|0
1|一切都好|姚晨|0
1|一切都好|周冬雨|0
2|勇士之门|赵又廷|0
4|勇士之门|倪妮|0
2|勇士之门|吴镇宇|0
1|冒牌卧底|潘粤明|0
4|谎言西西里|邢佳栋|0
1|少年|郭姝彤|0
1|少年|张译|0
2|少年|郭晓东|0
1|少年|杨树鹏|0
2|少年|欧豪|0
1|你好，疯子！|李虹辰|0
1|你好，疯子！|万茜|0
1|你好，疯子！|李虹辰|2
1|谋杀似水年华|阮经天|0
1|六弄咖啡馆|林柏宏|0
2|六弄咖啡馆|颜卓灵|0
4|六弄咖啡馆|董子健|0
1|六弄咖啡馆|吴子云|0
2|花样厨神|杨紫琼|0
1|失眠男女|谭耀文|0
1|失眠男女|宝儿|0
1|长江图|秦昊|0
1|长江图|辛芷蕾|0
3|箭士柳白猿|徐浩峰|0
1|箭士柳白猿|宋洋|0
1|发条城市|王自健|0
3|国酒|黄奕|0
1|国酒|黄奕|1
1|国酒|黄奕|2
1|国酒|黄奕|3
1|国酒|黄奕|4
1|钢刀|何润东|0
1|终极胜利|窦骁|0
1|轩辕大帝|周韦彤|0
1|捉妖记|钟汉良|0
1|捉妖记|井柏然|0
1|捉妖记|白百何|0
1|捉妖记|许诚毅|1
1|港囧|徐峥|0
1|寻龙诀|舒淇|0
1|寻龙诀|刘晓庆|0
1|寻龙诀|陈坤|0
1|寻龙诀|乌尔善|0
1|寻龙诀|乌尔善|2
1|夏洛特烦恼|马丽|2
1|夏洛特烦恼|沈腾|2
1|夏洛特烦恼|沈腾|4
1|煎饼侠|大鹏|0
1|煎饼侠|柳岩|0
1|老炮儿|李易峰|0
1|老炮儿|吴亦凡|0
2|老炮儿|冯小刚|0
1|老炮儿|李易峰|1
1|老炮儿|冯小刚|1
1|老炮儿|白举纲|2
1|老炮儿|许晴|2
2|狼图腾|冯绍峰|0
1|狼图腾|让-雅克·阿诺|0
1|狼图腾|窦骁|1
1|狼图腾|冯绍峰|1
1|九层妖塔|赵又廷|0
1|九层妖塔|姚晨|0
1|九层妖塔|陆川|0
1|九层妖塔|陆川|1
1|九层妖塔|姚晨|2
1|恶棍天使|邓超|0
1|杀破狼2|吴京|0
1|杀破狼2|吴京|1
1|咱们结婚吧|李晨|0
2|咱们结婚吧|王自健|0
1|咱们结婚吧|高圆圆|0
6|左耳|成泰燊|0
2|左耳|苏有朋|0
1|左耳|欧豪|0
3|左耳|成泰燊|2
1|左耳|陈都灵|2
5|失孤|刘德华|0
1|失孤|井柏然|0
1|赤道|张家辉|1
1|赤道|张学友|1
1|解救吾先生|刘德华|0
1|解救吾先生|刘烨|0
1|解救吾先生|刘德华|1
1|道士下山|陈凯歌|0
1|道士下山|范伟|0
1|道士下山|王宝强|0
1|道士下山|林志玲|0
1|道士下山|陈凯歌|1
1|道士下山|陈凯歌|3
2|重返20岁|鹿晗|0
1|重返20岁|杨子姗|1
1|栀子花开|张慧雯|0
1|万万没想到|陈柏霖|0
1|万万没想到|赵英俊|0
1|万万没想到|杨子姗|0
1|万万没想到|刘循子墨|0
1|万万没想到|.|0
2|烈日灼心|邓超|0
1|烈日灼心|段奕宏|1
1|烈日灼心|邓超|1
4|何以笙箫默|黄晓明|0
1|何以笙箫默|佟大为|2
1|怦然星动|杨幂|1
2|冲上云霄|吴镇宇|0
1|冲上云霄|郑秀文|0
1|破风|林超贤|1
1|破风|彭于晏|1
1|破风|王珞丹|1
1|破风|王珞丹|2
1|万物生长|范冰冰|0
2|万物生长|韩庚|0
2|爸爸的假期|张亮|0
1|爸爸的假期|郭涛|0
1|不可思异|大鹏|0
1|不可思异|小沈阳|0
1|不可思异|孙周|1
3|命中注定|汤唯|0
3|命中注定|廖凡|0
1|太平轮：彼岸|高捷|0
1|杜拉拉追婚记|周渝民|0
1|坏蛋必须死|陈柏霖|0
1|暴疯语|黄晓明|0
1|暴疯语|刘青云|0
1|暴疯语|鲍起静|1
1|从天“儿”降|李小璐|0
1|从天“儿”降|陈学冬|0
1|刺客聂隐娘|妻夫木聪|0
3|剩者为王|舒淇|0
1|剩者为王|彭于晏|0
6|剩者为王|邢佳栋|0
1|宅女侦探桂香|周渝民|0
1|宅女侦探桂香|王珞丹|0
1|师父|徐浩峰|0
1|师父|徐浩峰|2
1|神探驾到|罗兰|0
3|新步步惊心|成泰燊|0
1|新步步惊心|陈意涵|0
1|山河故人|贾樟柯|0
1|土豪520|吴镇宇|0
1|可爱的你|古天乐|0
1|可爱的你|杨千嬅|0
1|可爱的你|古天乐|1
1|可爱的你|杨千嬅|1
1|一个勺子|陈建斌|0
1|一个勺子|金世佳|0
1|冲锋车|吴镇宇|0
2|巴黎假期|郭采洁|0
1|巴黎假期|古天乐|0
1|我是女王|伊能静|0
3|十二公民|韩童生|0
1|年少轻狂|陈妍希|0
1|三城记|刘青云|0
2|三城记|汤唯|0
2|三城记|秦海璐|0
1|三城记|井柏然|0
1|三城记|张婉婷|1
1|三城记|刘青云|2
1|我的青春期|包贝尔|0
1|别有动机|秦岚|0
1|心迷宫|忻钰坤|1
1|闯入者|吕中|0
1|闯入者|冯远征|0
4|闯入者|王小帅|0
2|闯入者|王小帅|1
1|闯入者|吕中|2
12|魔镜||0
1|魔镜||1
1|魔镜||2
1|魔镜||3
1|魔镜||4
1|情敌蜜月|张雨绮|0
1|恋爱排班表|车晓|0
1|对风说爱你|郭采洁|0
1|探灵档案|莫小棋|0
1|探灵档案|吴昕|0
1|探灵档案|马浴柯|0
1|智取威虎山|张涵予|0
1|智取威虎山|梁家辉|0
2|智取威虎山|余男|0
1|智取威虎山|徐克|1
1|智取威虎山|张涵予|1
1|智取威虎山|梁家辉|1
1|心花路放|宁浩|0
4|心花路放|黄渤|0
1|心花路放|刘仪伟|0
2|心花路放|徐峥|0
1|一生一世|谢霆锋|1
1|一生一世|高圆圆|1
1|单身男女2|杜琪峰|0
1|单身男女2|高圆圆|0
1|敢死队3|杰森·斯坦森|0
1|敢死队3|李连杰|0
1|敢死队3|梅尔·吉布森|1
2|一步之遥|姜文|0
1|一步之遥|王志文|0
2|亲爱的|黄渤|0
2|亲爱的|陈可辛|0
2|亲爱的|赵薇|0
1|亲爱的|佟大为|0
2|亲爱的|黄渤|1
1|亲爱的|陈可辛|1
1|亲爱的|赵薇|1
3|我的早更女友|白客|0
1|一个人的武林|甄子丹|0
1|一个人的武林|陈德森|2
