count|movieName|name|senti|week
27|战狼2|于谦|1.0|2
24|春娇救志明|余文乐|0.96|2
1|建军大业|于和伟|1.0|2
116|悟空传|俞飞鸿|0.846715328467|1
1|喜欢你|林志玲|0.5|4
153|建军大业|张艺兴|0.974522292994|2
77|建军大业|周一围|1.0|1
7|建军大业|包贝尔|1.0|2
14|记忆大师|徐静蕾|1.0|4
23|喜欢你|孙艺洲|1.0|1
2|建军大业|释小龙|1.0|2
1|记忆大师|杨子姗|1.0|4
4|西游伏妖篇|包贝尔|1.0|3
26|建军大业|董子健|0.896551724138|1
1|大闹天竺|柳岩|1.0|5
86|京城81号2|高捷|0.905263157895|1
188|建军大业|陈伟霆|0.994708994709|1
510|绣春刀2|雷佳音|0.99609375|1
11|悟空传|郭子健|0.846153846154|1
1|大闹天竺|岳云鹏|1.0|5
57|记忆大师|许玮甯|0.966101694915|4
7|记忆大师|段奕宏|1.0|4
4|京城81号2|张智霖|1.0|5
59|西游伏妖篇|徐克|1.0|0
3|拆弹专家|宋佳|1.0|4
560|嫌疑人x的献身|张鲁一|0.994671403197|2
79|战狼2|石兆琪|0.9875|2
1|逆时营救|金士杰|1.0|3
62|逆时营救|霍建华|0.826666666667|5
10|战狼2|弗兰克·格里罗|1.0|1
2853|逆时营救|杨幂|0.984811874353|1
11|拆弹专家|张继聪|0.916666666667|1
377|悟空传|郑爽|0.959287531807|2
385|喜欢你|周冬雨|0.974683544304|5
227|喜欢你|金城武|0.986956521739|2
41|绣春刀2|路阳|0.97619047619|1
12|战狼2|卢靖姗|1.0|1
1|京城81号2|邬君梅|1.0|2
52|春娇救志明|杨千嬅|0.945454545455|2
186|拆弹专家|姜武|0.989361702128|2
1|京城81号2|钱人豪|1.0|0
96|建军大业|白客|0.979591836735|1
12|功夫瑜伽|李治廷|0.8|5
1|逆时营救|刘畅|1.0|0
278|记忆大师|黄渤|0.978873239437|5
2|西游伏妖篇|大鹏|0.666666666667|2
9|战狼2|丁海峰|1.0|1
230|西游伏妖篇|林更新|0.934959349593|2
3|拆弹专家|石修|1.0|1
247|拆弹专家|刘德华|0.953667953668|5
275|绣春刀2|张译|0.989208633094|1
110|建军大业|余少群|0.982142857143|1
7|西游伏妖篇|林允|1.0|0
4|西游伏妖篇|杨一威|1.0|1
673|悟空传|欧豪|0.936022253129|1
26|京城81号2|林雪|1.0|0
2|绣春刀2|王仁君|1.0|1
26|悟空传|彭于晏|0.928571428571|4
144|拆弹专家|吴卓羲|0.993103448276|1
64|功夫瑜伽|成龙|1.0|4
2|京城81号2|钟欣潼|1.0|4
