actorname,datestamp,moviename,score,sentiment
杨洋,2016-12-26,三生三世十里桃花,10.0,0
杨洋,2017-01-16,三生三世十里桃花,10.0,0
杨洋,2017-01-10,三生三世十里桃花,10.0,0
杨洋,2017-01-20,三生三世十里桃花,1.0,0
赵小丁,2017-01-30,三生三世十里桃花,10.0,0
刘亦菲,2017-01-30,三生三世十里桃花,10.0,0
杨洋,2017-01-30,三生三世十里桃花,10.0,0
刘亦菲,2017-01-30,三生三世十里桃花,10.0,1
杨洋,2017-01-30,三生三世十里桃花,10.0,1
杨洋,2017-01-16,三生三世十里桃花,10.0,0
杨洋,2017-01-31,三生三世十里桃花,10.0,0
杨洋,2017-01-30,三生三世十里桃花,8.0,1
刘亦菲,2017-01-30,三生三世十里桃花,8.0,0
刘亦菲,2017-01-30,三生三世十里桃花,8.0,0
杨洋,2017-01-30,三生三世十里桃花,8.0,0
杨洋,2017-02-13,三生三世十里桃花,10.0,0
刘亦菲,2017-02-13,三生三世十里桃花,10.0,0
杨洋,2017-02-13,三生三世十里桃花,10.0,0
杨洋,2017-02-13,三生三世十里桃花,10.0,0
刘亦菲,2017-02-07,三生三世十里桃花,9.0,0
刘亦菲,2016-07-25,三生三世十里桃花,9.0,1
杨洋,2016-07-25,三生三世十里桃花,9.0,0
杨洋,2016-07-25,三生三世十里桃花,9.0,0
杨洋,2017-03-02,三生三世十里桃花,10.0,0
杨洋,2017-05-29,三生三世十里桃花,10.0,1
杨洋,2017-05-29,三生三世十里桃花,10.0,1
刘亦菲,2017-05-29,三生三世十里桃花,10.0,1
杨洋,2017-05-29,三生三世十里桃花,10.0,0
杨洋,2017-06-11,三生三世十里桃花,10.0,0
杨洋,2017-06-05,三生三世十里桃花,10.0,1
杨洋,2017-06-05,三生三世十里桃花,10.0,0
刘亦菲,2017-06-05,三生三世十里桃花,10.0,0
杨洋,2017-06-05,三生三世十里桃花,10.0,0
杨洋,2017-06-09,三生三世十里桃花,10.0,1
杨洋,2017-06-14,三生三世十里桃花,10.0,1
杨洋,2017-06-14,三生三世十里桃花,10.0,1
赵小丁,2017-06-14,三生三世十里桃花,10.0,0
杨洋,2017-06-14,三生三世十里桃花,10.0,0
杨洋,2017-06-14,三生三世十里桃花,10.0,0
杨洋,2017-05-30,三生三世十里桃花,10.0,0
刘亦菲,2016-12-23,三生三世十里桃花,10.0,1
杨洋,2016-12-23,三生三世十里桃花,10.0,1
杨洋,2017-06-21,三生三世十里桃花,10.0,0
